num of runs,input 1,input 2,Objective
2,-0.26,-1.18,"[-1.1123999999999998, 10.372399999999997]"
2,-0.43,-7.78,"[-7.5951, 96.07840000000003]"
2,2.23,2.14,"[7.1129, -2.2104]"
2,3.5,1.94,"[14.19, -3.4964]"
2,0.21,-1.59,"[-1.5459, 12.678099999999999]"
2,-0.09,1.6,"[1.6081, 0.24999999999999992]"
2,0.02,-0.8,"[-0.7996000000000001, 7.819999999999999]"
2,0.1,0.88,"[0.89, 1.1544]"
2,8.98,2.04,"[82.68040000000002, -8.9784]"
2,7.75,1.52,"[61.5825, -7.5196]"
2,-0.14,-1.77,"[-1.7504, 14.3529]"
2,0.02,-0.73,"[-0.7296, 7.4329]"
2,0.02,-3.08,"[-3.0796, 25.7864]"
2,2.04,1.82,"[5.9816, -2.0076]"
2,1.5,2.28,"[4.529999999999999, -1.4216000000000002]"
2,0.03,-4.47,"[-4.4691, 41.83089999999999]"
2,0.56,-3.75,"[-3.4364, 32.5025]"
2,0.26,-5.66,"[-5.5924000000000005, 58.415600000000005]"
2,0.03,-4.68,"[-4.6791, 44.5924]"
2,4.22,1.98,"[19.7884, -4.2196]"
2,4.98,1.68,"[26.480400000000003, -4.8776]"
2,2.92,1.8,"[10.3264, -2.88]"
2,3.61,1.72,"[14.7521, -3.5316]"
2,0.03,-0.64,"[-0.6391, 6.9396]"
2,8.98,2.04,"[82.68040000000002, -8.9784]"
2,5.38,1.97,"[30.914399999999997, -5.3791]"
2,0.31,-4.17,"[-4.0739, 37.7589]"
2,0.06,-2.93,"[-2.9264, 24.244899999999998]"
2,-0.35,-1.13,"[-1.0074999999999998, 10.146899999999999]"
2,0.06,-3.72,"[-3.7164, 32.65840000000001]"
2,0.22,-1.04,"[-0.9916, 9.0216]"
2,-0.15,-4.25,"[-4.2275, 39.2125]"
2,-0.23,-1.94,"[-1.8871, 15.7536]"
2,-0.03,-2.26,"[-2.2590999999999997, 18.177599999999998]"
2,0.78,1.03,"[1.6384, 0.16089999999999993]"
2,4.72,1.68,"[23.958399999999997, -4.6175999999999995]"
2,0.67,1.3,"[1.7489000000000001, -0.1800000000000001]"
2,0.14,0.04,"[0.0596, 3.7015999999999996]"
2,8.78,1.55,"[78.63839999999999, -8.577499999999999]"
2,0.63,1.86,"[2.2569, -0.6104]"
2,4.31,1.83,"[20.406099999999995, -4.2810999999999995]"
2,0.79,0.71,"[1.3341, 0.8741000000000001]"
2,7.75,1.52,"[61.5825, -7.5196]"
2,0.2,-1.02,"[-0.98, 8.9204]"
2,1.42,1.74,"[3.7564, -1.3523999999999998]"
2,0.08,-1.8,"[-1.7936, 14.36]"
2,0.38,0.12,"[0.26439999999999997, 3.1544]"
2,0.28,-2.36,"[-2.2816, 18.729599999999994]"
2,2.21,1.7,"[6.5841, -2.12]"
2,0.24,-3.29,"[-3.2324, 27.744100000000003]"
2,0.51,1.38,"[1.6401, -0.12559999999999988]"
2,1.08,1.8,"[2.9664, -1.04]"
2,0.05,0.92,"[0.9225, 1.1164]"
2,4.24,1.67,"[19.647600000000004, -4.1311]"
2,0.01,-2.22,"[-2.2199, 17.798400000000004]"
2,1.73,1.8,"[4.7929, -1.69]"
2,0.25,-1.78,"[-1.7175, 14.038400000000001]"
2,4.16,1.27,"[18.5756, -3.6271000000000004]"
2,-1.02,-7.93,"[-6.8896, 99.6249]"
2,9.86,0.85,"[98.06959999999998, -8.5375]"
2,0.55,-5.74,"[-5.4375, 59.357600000000005]"
2,8.11,3.24,"[69.01209999999999, -6.572399999999999]"
2,6.91,2.64,"[50.3881, -6.5004]"
2,4.88,2.56,"[26.374399999999998, -4.5664]"
2,6.53,3.24,"[45.880900000000004, -4.9924]"
2,0.28,-3.14,"[-3.0616000000000003, 26.139600000000005]"
2,8.11,3.24,"[69.01209999999999, -6.572399999999999]"
2,0.55,-5.74,"[-5.4375, 59.357600000000005]"
2,4.68,2.82,"[24.722399999999997, -4.0076]"
2,3.99,2.7,"[18.6201, -3.5]"
2,6.77,1.03,"[46.862899999999996, -5.8290999999999995]"
2,0.75,-1.02,"[-0.4575, 8.3704]"
3,-0.03,-8.35,"[-8.3491, 107.15249999999999]"
3,8.98,2.04,"[82.68040000000002, -8.9784]"
3,8.98,2.04,"[82.68040000000002, -8.9784]"
3,0.26,-5.66,"[-5.5924000000000005, 58.415600000000005]"
3,6.61,1.78,"[45.472100000000005, -6.5616]"
3,8.57,1.06,"[74.5049, -7.686400000000001]"
3,5.94,2.01,"[37.293600000000005, -5.939900000000001]"
3,-0.43,-7.78,"[-7.5951, 96.07840000000003]"
3,0.03,-4.68,"[-4.6791, 44.5924]"
3,0.36,-5.58,"[-5.4504, 57.0964]"
3,5.38,1.97,"[30.914399999999997, -5.3791]"
3,0.46,-8.2,"[-7.9883999999999995, 103.58]"
3,8.78,1.55,"[78.63839999999999, -8.577499999999999]"
3,4.98,1.68,"[26.480400000000003, -4.8776]"
3,0.24,-3.29,"[-3.2324, 27.744100000000003]"
3,2.92,1.8,"[10.3264, -2.88]"
3,4.72,1.68,"[23.958399999999997, -4.6175999999999995]"
3,4.31,1.83,"[20.406099999999995, -4.2810999999999995]"
3,0.16,-3.92,"[-3.8944, 34.8864]"
3,3.08,1.83,"[11.3164, -3.0511]"
3,2.23,2.14,"[7.1129, -2.2104]"
3,0.56,-3.75,"[-3.4364, 32.5025]"
3,3.5,1.94,"[14.19, -3.4964]"
3,0.31,-4.17,"[-4.0739, 37.7589]"
3,-0.15,-4.25,"[-4.2275, 39.2125]"
